"ID","Sex","SexPref","Age","Country_Res","Country_Born","HPP_9","GDP","GINI","SexRatio.2017est.","SexRatio.15.54.","UNRegion","RelStatus","RelLength","RelY","RelM","Ethnicity","SRA","SRM","SRH","SRA_Partner","SRM_Partner","SRH_Partner","Hug_Freq","Sex_Freq","Hug_Satis","Sex_Satis","GK_Breath","GK_Scent","GK_Taste","GK_Wet","GK_Contact","GK_Arous","GK_SynchStyle","prec_mean_anual_Res","snow_cover_days_Res","t_mean_Res","t_mean_coldest_month_Res","t_mean_warmest_month_Res","prec_mean_anual_Born","snow_cover_days_Born","t_mean_Born","t_mean_coldest_month_Born","t_mean_warmest_month_Born","Kiss_index"
6089360076,2,1,42,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,1,23.17,23,2,"White ",4,2,4,4,4,4,70,60,61,87,100,85,88,30,100,80,33,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.917
6191773043,2,1,27,"Norway","France",NA,NA,NA,NA,NA,NA,1,4.5,4,6,"Francaise",5,4,7,6,6,6,100,80,100,72,100,26,27,54,26,49,30,1243.4821960034,274.708499024061,-1.49081966396133,-13.601394349313,10.9616710275716,1132.64185352846,10.3262061634815,12.4616740445193,2.5390511042511,24.3670002088432,0.99
6180369987,2,1,28,"Germany","Germany",-0.87,50200,27,0.97,1.03,5,1,5.67,5,8,"kaukasisch",5,5,4,6,3,6,92,51,78,82,90,89,59,90,65,66,96,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.078
6157791024,2,3,22,"Germany","Germany",-0.87,50200,27,0.97,1.03,5,1,0.67,0,8,"europõisch ",4,3,5,6,1,6,65,55,80,40,53,84,95,67,88,50,63,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,1
6174818440,2,1,23,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,2,NA,NA,NA,"Scottish ",2,NA,2,NA,NA,NA,53,90,78,92,100,86,94,86,93,100,94,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.451
6179681318,2,1,23,"Germany","Germany",-0.87,50200,27,0.97,1.03,5,1,5.33,5,4,"deutsch",6,2,6,5,6,6,100,92,100,100,100,100,100,68,100,92,100,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.757
6089856701,1,2,60,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,2,NA,NA,NA,NA,5,4,3,NA,NA,NA,62,69,82,61,88,78,96,96,96,91,91,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.578
6089103661,2,1,32,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,1,4.5,4,6,"White",4,2,2,5,6,4,80,50,50,50,100,100,51,100,100,67,85,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.177
6103069169,2,2,21,"Colombia","Colombia",0.27,14500,53.5,0.98,1.01,4,2,NA,NA,NA,NA,4,5,4,NA,NA,NA,100,80,65,71,30,30,51,100,100,81,100,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,0.763
6102985081,2,1,18,"Colombia","Colombia",0.27,14500,53.5,0.98,1.01,4,1,NA,NA,NA,NA,5,1,4,4,4,3,52,74,56,66,85,78,78,81,62,72,87,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,3112.51932995326,0.0158684486685676,23.6307114726742,19.6953702585061,28.7649583538837,0.88
6379431880,2,3,29,"Italy","Italy",0.16,38000,31.9,0.93,0.99,5,1,3.25,3,3,NA,3,7,4,6,5,4,70,100,25,100,100,100,100,80,100,100,71,952.994163813021,27.9661897320716,12.6060230033424,-0.0706364048670512,26.4582228226927,952.994163813021,27.9661897320716,12.6060230033424,-0.0706364048670512,26.4582228226927,0
6089160088,2,1,27,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,2,NA,NA,NA,"White",4,2,2,NA,NA,NA,90,50,81,74,100,100,74,38,60,30,57,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.308
6180186997,2,1,47,"Germany","Germany",-0.87,50200,27,0.97,1.03,5,2,9.83,9,10,"Europõisch (hei?t das Kaukasisch??), Deutsch",5,3,6,NA,NA,NA,90,39,99,100,100,99,100,100,85,56,62,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,837.165363277933,30.6293722098459,8.96406371508524,-2.22109598782229,22.1296057335877,0.37
6089289074,2,1,26,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,2,NA,NA,NA,"Arab",1,2,4,NA,NA,NA,100,80,100,100,100,100,100,100,100,100,100,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.83
6089082639,1,2,49,"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland",-1.063333333,43600,32.4,0.99,1.04,5,1,5.17,5,2,"White",4,5,4,5,2,5,75,66,64,59,100,89,89,57,81,88,68,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,1207.85298808613,1.16856580489083,9.18796226511679,1.30162512163031,18.0403453045729,0.43
